1,M,201,Kaleidoscope Eyes,,1_M_Kaleidoscope Eyes
2,M,202,Alchemist,,2_M_Alchemist
3,M,203,Phoenix Flame,,3_M_Phoenix Flame
4,M,204,Interstellar,,4_M_Interstellar
5,M,205,Wild Thing,,5_M_Wild Thing
6,M,206,Dragons Heart,,6_M_Dragons Heart
7,M,207,Black Ice,,7_M_Black Ice
8,M,208,Warrior Princess,,8_M_Warrior Princess
9,M,209,Avalon,,9_M_Avalon
10,M,210,Blood Moon,,10_M_Blood Moon
11,M,211,Rattlesnake,,11_M_Rattlesnake
12,M,212,Snow Maiden,,12_M_Snow Maiden
13,M,420,Psychedellic Sunshine,,13_M_Psychedellic Sunshine
14,Y,114,Ivory,,14_Y_Ivory
15,Y,97,Citrus Yellow,,15_Y_Citrus Yellow
16,Y,1,Lemon Yellow,,16_Y_Lemon Yellow
17,Y,2,Bright Yellow,,17_Y_Bright Yellow
18,Y,3A,Clear Yellow,,18_Y_Clear Yellow
19,Y,3,Golden Yellow,,19_Y_Golden Yellow
20,Y,165,Daffodil,,20_Y_Daffodil
21,Y,67,Marigold,,21_Y_Marigold
22,Y,4,Deep Yellow,,22_Y_Deep Yellow
23,O,147,Orange Sorbet,,23_O_Orange Sorbet
24,O,5,Soft Orange,,24_O_Soft Orange
25,O,6,Deep Orange,,25_O_Deep Orange
26,O,167,Orange Crush,,26_O_Orange Crush
27,R,166,Watermelon,,27_R_Watermelon
28,O,120,Tangerine,,28_O_Tangerine
29,R,8A,Pagoda Red,,29_R_Pagoda Red
30,R,190,Atomic Fireball,,30_R_Atomic Fireball
31,R,10A,Chinese Red,,31_R_Chinese Red
32,R,9,Scarlet,,32_R_Scarlet
33,R,194,Dye-namite,,33_R_Dye-namite
34,R,10,Fire Red,,34_R_Fire Red
35,R,148,Pomegranate,,35_R_Pomegranate
36,R,136,Oxblood Red,,36_R_Oxblood Red
37,O,14,Coral Pink,,37_O_Coral Pink
38,O,7A,Peach,,38_O_Peach
39,Pi,176,Powder Pink,,39_Pi_Powder Pink
40,Pi,98,Bubble Gum,,40_Pi_Bubble Gum
41,Pi,12A,Baby Pink,,41_Pi_Baby Pink
42,Pi,14A,Hot Pink,,42_Pi_Hot Pink
43,R,49,Red Wine,,43_R_Red Wine
44,Pi,152,Dragon Fruit,,44_Pi_Dragon Fruit
45,R,17,Burgundy,,45_R_Burgundy
46,Pi,181,Hot Hibiscus,,46_Pi_Hot Hibiscus
47,R,12,Light Red,,47_R_Light Red
48,Pi,13,Fuchsia Red,,48_Pi_Fuchsia Red
49,R,145,Dances with Raisins,,49_R_Dances with Raisins
50,R,16,Maroon,,50_R_Maroon
51,P,111,Black Cherry,,51_P_Black Cherry
52,P,115,Eggplant,,52_P_Eggplant
53,Pi,187,Sweet Pea,,53_Pi_Sweet Pea
54,P,174,Peony,,54_P_Peony
55,P,51,Plum Blossom,,55_P_Plum Blossom
56,P,65,Raspberry,,56_P_Raspberry
57,P,15,Amethyst,,57_P_Amethyst
58,P,64,Orchid,,58_P_Orchid
59,P,189,Magenta Galactica,,59_P_Magenta Galactica
60,P,119,Red Violet,,60_P_Red Violet
61,P,43,Blue Violet,,61_P_Blue Violet
62,P,19,Plum,,62_P_Plum
63,P,18,Deep Purple,,63_P_Deep Purple
64,P,161,Power Berry,,64_P_Power Berry
65,P,131,Imperial Purple,,65_P_Imperial Purple
66,P,18A,Ultra Violet,,66_P_Ultra Violet
67,P,117,Grape,,67_P_Grape
68,P,19A,Lilac,,68_P_Lilac
69,P,60,Lavender,,69_P_Lavender
70,P,185,Nightshade,,70_P_Nightshade
71,P,159,Hydrangea,,71_P_Hydrangea
72,P,83,Wisteria,,72_P_Wisteria
73,P,61,Ice Blue,,73_P_Ice Blue
74,P,112,Periwinkle,,74_P_Periwinkle
75,B,46,Brilliant Blue,,75_B_Brilliant Blue
76,B,26,Sky Blue,,76_B_Sky Blue
77,B,27,Midnight Blue,,77_B_Midnight Blue
78,B,70,Sapphire Blue,,78_B_Sapphire Blue
79,B,95,Royal Blue,,79_B_Royal Blue
80,B,192,Houdini Blue,,80_B_Houdini Blue
81,B,188,Bluebird,,81_B_Bluebird
82,B,130,Strong Navy,,82_B_Strong Navy
83,B,24,Navy Blue,,83_B_Navy Blue
84,B,173,Deep Space,,84_B_Deep Space
85,B,186,Nebula Navy,,85_B_Nebula Navy
86,B,191,Blue Abyss,,86_B_Blue Abyss
87,B,160,Blueberry,,87_B_Blueberry
88,B,168,Indigo Blue,,88_B_Indigo Blue
89,B,23,Cerulean Blue,,89_B_Cerulean Blue
90,B,23A,Electric Blue,,90_B_Electric Blue
91,B,77,Alpine Blue,,91_B_Alpine Blue
92,B,62,Peacock Blue,,92_B_Peacock Blue
93,B,76,Wedgewood Blue,,93_B_Wedgewood Blue
94,B,48,Baby Blue,,94_B_Baby Blue
95,B,180,Glacier Blue,,95_B_Glacier Blue
96,B,80,Robin's Egg Blue,,96_B_Robin's Egg Blue
97,B,171,Bahama Blue,,97_B_Bahama Blue
98,B,25,Turquoise,,98_B_Turquoise
99,B,132,Carribbean Blue,,99_B_Carribbean Blue
100,B,162,Grecian Sea,,100_B_Grecian Sea
101,B,21,Teal Blue,,101_B_Teal Blue
102,B,22,Cobalt Blue,,102_B_Cobalt Blue
103,BG,146,Kingfisher Blue,,103_BG_Kingfisher Blue
104,BG,153,Mermaid's Dream,,104_BG_Mermaid's Dream
105,BG,28A,Aqua Marine,,105_BG_Aqua Marine
106,BG,151,Parakeet,,106_BG_Parakeet
107,BG,50,Jade Green,,107_BG_Jade Green
108,BG,108,Cayman Isle Green,,108_BG_Cayman Isle Green
109,BG,85,Seafoam,,109_BG_Seafoam
110,BG,164,Sea Glass,,110_BG_Sea Glass
111,BG,157,Celadon,,111_BG_Celadon
112,BG,28B,Better Blue Green,,112_BG_Better Blue Green
113,G,31A,Forest Green,,113_G_Forest Green
114,G,31,Dark Green,,114_G_Dark Green
115,G,134,Moss Green,,115_G_Moss Green
116,G,140,Sage Green,,116_G_Sage Green
117,G,170,Muir Green,,117_G_Muir Green
118,G,32,Olive Drab,,118_G_Olive Drab
119,G,30A,New Emerald Green,,119_G_New Emerald Green
120,G,33,Avocado,,120_G_Avocado
121,G,177,Electric Green,,121_G_Electric Green
122,G,66,Kelly Green,,122_G_Kelly Green
123,G,29,Birght Green,,123_G_Birght Green
124,G,183,Lime Pop,,124_G_Lime Pop
125,G,47,Chartreuse,,125_G_Chartreuse
126,G,149,Lime Squeeze,,126_G_Lime Squeeze
127,G,143,Wasabi,,127_G_Wasabi
128,G,182,Herbaceous,,128_G_Herbaceous
129,Br,37,Bronze,,129_Br_Bronze
130,Br,38,Khaki,,130_Br_Khaki
131,Br,116,Brazil Nut,,131_Br_Brazil Nut
132,Br,135,Truffle Brown,,132_Br_Truffle Brown
133,Br,142,Dutch Chocolate,,133_Br_Dutch Chocolate
134,Br,35,Dark Brown,,134_Br_Dark Brown
135,Br,35A,Chocolate Brown,,135_Br_Chocolate Brown
136,Br,34,Rust Brown,,136_Br_Rust Brown
137,Br,141,Terracotta,,137_Br_Terracotta
138,Br,113,Golden Brown,,138_Br_Golden Brown
139,Br,178,Shiitake Mushroom,,139_Br_Shiitake Mushroom
140,Br,155,Amber Waves,,140_Br_Amber Waves
141,Br,144,Chamois,,141_Br_Chamois
142,Br,138,Palomino Gold,,142_Br_Palomino Gold
143,Br,101,Camel,,143_Br_Camel
144,Br,6A,Ecru,,144_Br_Ecru
145,Gy,139,Mist Gray,,145_Gy_Mist Gray
146,Gy,38A,Blue Gray,,146_Gy_Blue Gray
147,Gy,172,Timber Wolf,,147_Gy_Timber Wolf
148,Gy,175,Neutral Grey,,148_Gy_Neutral Grey
149,Gy,184,Silver Lining,,149_Gy_Silver Lining
150,Gy,105,Pewter,,150_Gy_Pewter
151,Gy,154,Brushed Steel,,151_Gy_Brushed Steel
152,Gy,41,Charcoal Gray,,152_Gy_Charcoal Gray
153,Gy,150,Gunmetal Gray,,153_Gy_Gunmetal Gray
154,Gy,193,Thundercloud,,154_Gy_Thundercloud
155,Bk,200,Raven Black,,155_Bk_Raven Black
156,Bk,44,Better Black,,156_Bk_Better Black
157,Bk,275,Hot Black,,157_Bk_Hot Black
158,Bk,300,New Black,,158_Bk_New Black
